id	frequency	board	fill	hasQR	fen
00015329231620d1962ee3713e4cf9ba	1849	Kb,Bw,Rb,Pw,Qw,Bb,Rw,Qb,Rb,,,,,,,Pb,Pw,,,,,,,Rw,Qb,,,Nb,Nb,,,Bw,Bw,,,Nb,Nb,,,Qb,Rw,,,,,,,Kb,Pb,,,,,,,Rb,Qb,Pw,Nb,Bb,Kw,Pb,Rw,Rb	darkRed	0	kBrPQbRq/r6p/P6R/q2nn2B/B2nn2q/R6k/p6r/qPnbKpRr
00055812e9cb7aa322d744a474ac785f	2979	Nb,Qb,Kw,Rw,Nb,Qw,Kb,Rb,Pb,,,,,,,Rb,Qb,,,,,,,Nw,Bw,,,Pw,Pw,,,Qw,Rb,,,Pw,Pw,,,Kb,Pw,,,,,,,Rw,Kw,,,,,,,Nb,Pb,Qb,Nw,Rb,Kb,Qw,Nb,Rw	lightGray	0	nqKRnQkr/p6r/q6N/B2PP2Q/r2PP2k/P6R/K6n/pqNrkQnR
00056eaffc1064839cc77dc839f2b0c8	646	Kb,Bb,Kw,Pw,Rb,Bw,Kb,Kw,Qb,,,,,,,Kw,Bw,,,,,,,Pw,Rw,,,,,,,Nw,Kw,,,,,,,Bb,Kw,,,,,,,Qb,Bb,,,,,,,Pb,Kw,Nb,Bw,Qb,Pb,Nw,Bb,Rb	lightRed	0	kbKPrBkK/q6K/B6P/R6N/K6b/K6q/b6p/KnBqpNbr
000c200b0a32494390713d6242dfe699	61	Bb,Qb,Bw,Rw,Pb,Qw,Bb,Rw,Qw,,,,,,,Rw,Bb,,,,,,,Rw,Rw,,,Rw,Rw,,,Rw,Pb,,,Rw,Rw,,,Rw,Qb,,,,,,,Rw,Nw,,,,,,,Rw,Pw,Pb,Rw,Bw,Qb,Pw,Rb,Rw	darkGray	0	bqBRpQbR/Q6R/b6R/R2RR2R/p2RR2R/q6R/N6R/PpRBqPrR
000cf8a72f04a2251c3c6de244e6c20a	1266	Rb,Kw,Rw,Nw,Qb,Kb,Rb,Nb,Bb,,,,,,,Pb,Nw,,,,,,,Kb,Pb,,,,,,,Bb,Kb,,,,,,,Nw,Bw,,,,,,,Pw,Nb,,,,,,,Qw,Rb,Kb,Rb,Nb,Qw,Kw,Rw,Pb	lightGray	0	rKRNqkrn/b6p/N6k/p6b/k6N/B6P/n6Q/rkrnQKRp
000d9fdd0f4255f699ccdc9ab2851667	169	Qb,Rb,Pw,Qb,Bw,Rw,Pb,Rb,Nb,,,,,,,Rb,Rw,,,,,,,Pw,Kb,,,,,,,Qb,Qw,,,,,,,Bw,Nw,,,,,,,Rw,Rb,,,,,,,Pb,Rw,Rw,Rw,Rw,Rw,Rw,Rw,Rw	darkGray	0	qrPqBRpr/n6r/R6P/k6q/Q6B/N6R/r6p/RRRRRRRR
00107e6c847b184f8e61d54dcaaa39ce	2541	Pw,Pw,Qw,Bb,Rw,Pb,Qb,Kb,Rb,,,,,,,Bw,Bw,,,,,,,Nb,Qb,,,,,,,Pb,Pb,,,,,,,Kb,Rw,,,,,,,Bb,Nb,,,,,,,Nw,Rw,Qb,Pb,Rw,Bb,Qw,Pw,Bw	darkGray	0	PPQbRpqk/r6B/B6n/q6p/p6k/R6b/n6N/RqpRbQPB
001262d76c746b6b387689b71a986014	1353	Rw,Rw,Bb,Qw,Pw,Rb,Nw,Nb,Qb,,,,,,,Nb,Kw,,,,,,,Bw,Rb,,,,,,,Kw,Nw,,,,,,,Pw,Qw,,,,,,,Rw,Kb,,,,,,,Bb,Kw,Qw,Pw,Rw,Bb,Qb,Pb,Bb	lightRed	0	RRbQPrNn/q6n/K6B/r6K/N6P/Q6R/k6b/KQPRbqpb
0012a0b596635c0b193979582b4cd21d	2864	Bb,Nw,Rb,Kb,Qw,Nb,Rw,Rb,Kb,,,,,,,Qb,Qw,,,,,,,Bw,Nw,,,Rb,Rb,,,Rw,Rb,,,Rb,Rb,,,Pb,Kw,,,,,,,Qw,Qb,,,,,,,Bb,Bw,Kw,Qb,Nb,Rw,Kb,Qw,Qw	darkGray	0	bNrkQnRr/k6q/Q6B/N2rr2R/r2rr2p/K6Q/q6b/BKqnRkQQ
00134a5d98a698ca9727eb9d9c10730f	398	Rb,Rw,Qw,Qw,Nb,Rb,Kb,Kw,Pb,,,,,,,Kb,Rw,,,,,,,Pb,Bb,,,Nb,Nb,,,Nb,Qw,,,Nb,Nb,,,Bw,Pw,,,,,,,Kw,Rb,,,,,,,Pw,Nw,Nw,Pb,Kw,Bb,Nb,Pw,Bb	lightRed	0	rRQQnrkK/p6k/R6p/b2nn2n/Q2nn2B/P6K/r6P/NNpKbnPb
